deg,deg_avg,num
0,5.42540393074,492
1,5.42775846526,508
2,5.43511877782,512
3,5.4355664181,533
4,5.43871042482,529
5,5.43994011141,532
6,5.44557607959,540
7,5.46130778802,531
8,5.45889407278,547
9,5.45359144897,540
10,5.44121539433,552
11,5.43851707733,623
12,5.44339737765,647
13,5.44749433187,594
14,5.44264740554,623
15,5.44721023778,666
16,5.43702915384,726
17,5.43123369704,738
18,5.42888072726,771
19,5.43081021674,847
20,5.43377607353,886
21,5.44335610002,880
22,5.44716448839,903
23,5.45453104647,921
24,5.46093763764,940
25,5.46005460484,923
26,5.45632769526,937
27,5.44477031459,947
28,5.43843744793,975
29,5.43419434068,1016
30,5.43274057901,1030
31,5.43113583995,1043
32,5.43104115674,1029
33,5.43175013423,1033
34,5.43107407659,1039
35,5.43525743993,1019
36,5.430525714,1029
37,5.42982684447,1009
38,5.43016118988,1005
39,5.4279280199,1012
40,5.42684275335,996
41,5.42861705597,974
42,5.43248529969,947
43,5.43628557297,948
44,5.44218051766,920
45,5.44139656277,897
46,5.44502743586,893
47,5.44203858542,886
48,5.44121936502,843
49,5.43619168982,855
50,5.4311047259,764
51,5.43386035787,736
52,5.44195482201,692
53,5.44941561814,676
54,5.44586311492,668
55,5.44563087358,647
56,5.44565429127,626
57,5.44549684046,620
58,5.44322274789,596
59,5.44068195702,573
60,5.44177284364,566
61,5.43818187075,542
62,5.4403469399,541
63,5.4389687709,516
64,5.43751114207,527
65,5.43604514395,499
66,5.43609244796,476
67,5.43985985259,474
68,5.43895068836,466
69,5.4386694382,462
70,5.44081323253,434
71,5.45313345884,421
72,5.45501115034,427
73,5.45290933908,401
74,5.45397691812,410
75,5.45579762229,394
76,5.45422163775,390
77,5.4510409983,386
78,5.44820031333,384
79,5.4441453791,380
80,5.44024377757,373
81,5.43959219458,376
82,5.43838555548,368
83,5.44022925169,372
84,5.43786287753,362
85,5.43394502408,366
86,5.43292681843,369
87,5.43281397914,365
88,5.43521486059,363
89,5.43782730041,372
90,5.43535638558,358
91,5.43463702191,371
92,5.43282647785,365
93,5.43067679635,362
94,5.42958309943,373
95,5.42951756902,380
96,5.4301038863,395
97,5.4314881117,390
98,5.42784375766,383
99,5.42093389,399
100,5.41769586538,385
101,5.4153631869,435
102,5.41415081015,439
103,5.42102355183,440
104,5.41244836089,404
105,5.40612121664,473
106,5.41605733398,450
107,5.42560946241,484
108,5.4310141346,594
109,5.43435414531,550
110,5.42454717586,537
111,5.42542668609,527
112,5.41892408455,764
113,5.43363755442,700
114,5.43094648455,818
115,5.43138064317,743
116,5.42517789133,834
117,5.41598660133,808
118,5.41618709903,1093
119,5.41209853206,923
120,5.41704813162,1514
121,5.436768907,1505
122,5.44525426392,1612
123,5.44209784141,1418
124,5.44362276945,2016
125,5.44101792508,2215
126,5.44740343156,2201
127,5.44633383052,2557
128,5.43833714701,2811
129,5.43180395137,2967
130,5.43461690599,3662
131,5.43610584554,3778
132,5.43334521085,4254
133,5.43264730578,4472
134,5.41890386344,4831
135,5.42125686987,5235
136,5.41942309646,5347
137,5.4147173157,5269
138,5.41822393269,5097
139,5.42347580314,4826
140,5.42047676903,4813
141,5.42359996317,3924
142,5.43529560693,3477
143,5.44656837409,3258
144,5.45394814495,2874
145,5.45702183394,2623
146,5.45654435222,2181
147,5.44981864959,2316
148,5.44774015119,1785
149,5.44826281442,1726
150,5.44200889849,1541
151,5.43560756536,1384
152,5.43643618273,1276
153,5.43591083654,851
154,5.46093780273,786
155,5.45872617817,939
156,5.45978834934,713
157,5.46781879489,684
158,5.4740082074,654
159,5.47308513598,630
160,5.47060044323,593
161,5.46645390258,554
162,5.46109439234,509
163,5.46311834194,446
164,5.46456007946,524
165,5.46347380917,516
166,5.46506318478,501
167,5.46802613199,479
168,5.47458162347,426
169,5.47770191511,449
170,5.48002102487,429
171,5.4864162087,392
172,5.48798953129,426
173,5.4830707265,397
174,5.48329911776,383
175,5.47548583349,388
176,5.46661409855,403
177,5.45076362628,391
178,5.44886607471,164
179,5.44457629097,166
180,5.44136623014,174
181,5.44258050834,203
182,5.43844043811,170
183,5.43896417924,197
184,5.43684130821,249
185,5.4351723627,224
186,5.44027947531,233
187,5.44526226522,251
188,5.4479251491,242
189,5.44994366825,237
190,5.45181422843,290
191,5.46015435131,267
192,5.47005061808,308
193,5.4727813639,317
194,5.47126157544,314
195,5.47335981158,324
196,5.46871441954,279
197,5.46177272269,316
198,5.45631032401,346
199,5.46040495814,383
200,5.46292934753,387
201,5.46783498613,441
202,5.47980876701,510
203,5.489258969,517
204,5.49499756574,511
205,5.49948726974,521
206,5.50278315006,520
207,5.50542716311,494
208,5.49414349596,561
209,5.48342437578,720
210,5.47752967431,715
211,5.47263925586,858
212,5.4678008672,944
213,5.467529137,990
214,5.47435725807,1020
215,5.48112208475,1112
216,5.48132739564,1107
217,5.47548197786,1115
218,5.47007639104,1127
219,5.46496725535,1206
220,5.46290002165,1258
221,5.46070266047,1339
222,5.45624419994,1588
223,5.45405033116,1603
224,5.45301491656,1639
225,5.4475566186,1696
226,5.44371825056,1771
227,5.43808920649,1818
228,5.43933659529,1779
229,5.44089600706,1803
230,5.43692631621,1829
231,5.435626547,1850
232,5.43449916694,1346
233,5.43369577197,1611
234,5.43527234258,1672
235,5.4356364491,1689
236,5.43687660939,1670
237,5.43716082275,1515
238,5.43828145347,1440
239,5.43454959881,1355
240,5.43157485723,1324
241,5.42940398588,1278
242,5.42666020466,1121
243,5.42920429271,965
244,5.43479821284,949
245,5.43803941011,871
246,5.44383580221,815
247,5.44694747288,786
248,5.44877487051,767
249,5.44903196478,720
250,5.45234493181,685
251,5.45853453946,618
252,5.46619350367,585
253,5.46357860027,580
254,5.4644692549,646
255,5.45497615074,641
256,5.4423350222,566
257,5.43879358737,497
258,5.43580808678,494
259,5.43290040812,502
260,5.43406613788,398
261,5.42920454283,436
262,5.42999552727,441
263,5.42504805948,401
264,5.42875141953,356
265,5.43127331953,385
266,5.4255212305,389
267,5.41903721709,335
268,5.41748875203,362
269,5.42861798083,333
270,5.42462899871,315
271,5.42934389844,297
272,5.43929941586,301
273,5.44987727182,267
274,5.46423211385,266
275,5.47507392076,300
276,5.47567721022,272
277,5.47066998568,288
278,5.46351770885,282
279,5.4535460753,298
280,5.43680372129,243
281,5.43595166264,229
282,5.43341879985,261
283,5.43118486215,256
284,5.42916454259,245
285,5.43176550149,233
286,5.43026359623,235
287,5.42355634334,252
288,5.41357086251,233
289,5.41489668845,220
290,5.42111482325,218
291,5.42922748485,214
292,5.43311980186,210
293,5.43898646763,213
294,5.44823081892,209
295,5.45607080396,212
296,5.45923361808,191
297,5.47613577966,185
298,5.48788287953,205
299,5.49493577927,205
300,5.49889512418,206
301,5.50313978097,198
302,5.51161362614,202
303,5.51592514796,200
304,5.5180545043,207
305,5.51071919517,216
306,5.50793407168,215
307,5.50830105504,208
308,5.4954235894,211
309,5.4780236758,207
310,5.48410062666,212
311,5.49426110911,198
312,5.50364137755,213
313,5.50697841335,216
314,5.50355315952,215
315,5.49471228817,218
316,5.49460560631,209
317,5.49943470023,213
318,5.49946368116,213
319,5.50018237993,214
320,5.4862144373,206
321,5.48040333347,219
322,5.48292097364,222
323,5.49156711849,259
324,5.49461633591,236
325,5.49082468415,227
326,5.48990298343,225
327,5.48844440768,269
328,5.48670373036,243
329,5.48330950402,256
330,5.477382036,227
331,5.4657959957,222
332,5.45736913613,234
333,5.45190153995,233
334,5.45009900377,239
335,5.45156288147,254
336,5.45497374426,276
337,5.45028306873,295
338,5.44132214435,295
339,5.42697285496,306
340,5.42054954928,326
341,5.43094568966,333
342,5.44227250994,354
343,5.45137584769,341
344,5.45708491789,345
345,5.45945465223,353
346,5.45746759178,344
347,5.45174976527,348
348,5.44957396449,354
349,5.44999709907,396
350,5.45235210027,380
351,5.45197829287,397
352,5.4474450965,388
353,5.44242202741,389
354,5.43505702046,409
355,5.4294291392,412
356,5.43103455684,416
357,5.42964443344,439
358,5.42599244021,450
359,5.42461974133,474
